[2022-10-18 18:30:18,792] [DEBUG]: Starting new HTTPS connection (1): raw.githubusercontent.com:443
[2022-10-18 18:30:19,043] [DEBUG]: https://raw.githubusercontent.com:443 "GET /Kopamed/PyOverlay/main/PyOverlay.py HTTP/1.1" 200 8501
[2022-10-18 18:30:19,053] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:30:19,617] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:30:19,688] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:30:20,194] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:30:20,241] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:30:20,980] [DEBUG]: Starting new HTTPS connection (1): api.hypixel.net:443
[2022-10-18 18:30:21,197] [DEBUG]: https://api.hypixel.net:443 "GET /key?key=d6f873c7-6575-420a-ae5f-102d1624e7ff HTTP/1.1" 200 None
[2022-10-18 18:30:25,585] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 404 None
[2022-10-18 18:30:25,592] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:30:31,061] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 404 None
[2022-10-18 18:30:31,072] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:30:31,623] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:30:31,629] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:30:37,099] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 404 None
[2022-10-18 18:30:37,117] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:30:37,537] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:30:37,543] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:30:37,873] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:30:37,894] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:30:38,246] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:30:38,253] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:30:38,739] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:30:38,773] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:30:39,235] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:30:39,281] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:30:39,610] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:30:39,629] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:30:45,113] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 404 None
[2022-10-18 18:30:45,115] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:30:50,746] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 404 None
[2022-10-18 18:30:50,748] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:30:51,255] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:30:51,283] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:30:56,754] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 404 None
[2022-10-18 18:30:56,767] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:30:57,323] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:30:57,330] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:30:57,666] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:30:57,686] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:30:58,185] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:30:58,236] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:30:58,761] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:30:58,809] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:30:59,269] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:30:59,315] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:30:59,815] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:30:59,840] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:00,205] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:00,255] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:00,586] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:00,626] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:00,973] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:00,991] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:01,351] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:01,377] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:01,866] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:01,907] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:02,417] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:02,445] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:02,934] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:02,985] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:03,442] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:03,483] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:03,807] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:03,815] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:04,256] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:04,291] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:04,624] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:04,646] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:04,968] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:05,013] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:05,458] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:05,493] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:10,674] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:10,710] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:11,441] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:11,492] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:11,825] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:11,855] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:12,284] [INFO]: Joined Bedwraspractice lobby
[2022-10-18 18:31:12,288] [DEBUG]: Started mass stat request: ['doubleUperm', 'Nqtural', 'Voidless15', 'NinjaPig0010', 'DermoDealer', 'Chub24', 'kuliferdo123']
[2022-10-18 18:31:12,288] [DEBUG]: Starting new HTTPS connection (1): api.mojang.com:443
[2022-10-18 18:31:12,737] [DEBUG]: https://api.mojang.com:443 "POST /profiles/minecraft HTTP/1.1" 200 434
[2022-10-18 18:31:12,751] [DEBUG]: Starting new HTTPS connection (1): api.hypixel.net:443
[2022-10-18 18:31:12,752] [DEBUG]: Starting new HTTPS connection (1): api.hypixel.net:443
[2022-10-18 18:31:12,752] [DEBUG]: Starting new HTTPS connection (1): api.hypixel.net:443
[2022-10-18 18:31:12,752] [DEBUG]: Starting new HTTPS connection (1): api.hypixel.net:443
[2022-10-18 18:31:12,752] [DEBUG]: Starting new HTTPS connection (1): api.hypixel.net:443
[2022-10-18 18:31:12,753] [DEBUG]: Starting new HTTPS connection (1): api.hypixel.net:443
[2022-10-18 18:31:12,753] [DEBUG]: Starting new HTTPS connection (1): api.hypixel.net:443
[2022-10-18 18:31:12,958] [DEBUG]: https://api.hypixel.net:443 "GET /player?key=d6f873c7-6575-420a-ae5f-102d1624e7ff&uuid=1f5c28632ec4402a9bc16ee5da7221ec HTTP/1.1" 200 None
[2022-10-18 18:31:12,961] [DEBUG]: https://api.hypixel.net:443 "GET /player?key=d6f873c7-6575-420a-ae5f-102d1624e7ff&uuid=da47b3c2e4f349cc87e819b625265ace HTTP/1.1" 200 None
[2022-10-18 18:31:12,964] [DEBUG]: https://api.hypixel.net:443 "GET /player?key=d6f873c7-6575-420a-ae5f-102d1624e7ff&uuid=d935374f96fd43b98ef874ade7a9c4f8 HTTP/1.1" 200 None
[2022-10-18 18:31:12,973] [DEBUG]: https://api.hypixel.net:443 "GET /player?key=d6f873c7-6575-420a-ae5f-102d1624e7ff&uuid=42202eb599bf4a56b56625eded903200 HTTP/1.1" 200 None
[2022-10-18 18:31:12,982] [DEBUG]: https://api.hypixel.net:443 "GET /player?key=d6f873c7-6575-420a-ae5f-102d1624e7ff&uuid=f347003280e649dfbb171f9613fbe1e5 HTTP/1.1" 200 None
[2022-10-18 18:31:13,001] [DEBUG]: https://api.hypixel.net:443 "GET /player?key=d6f873c7-6575-420a-ae5f-102d1624e7ff&uuid=f366c2aa170b422e940bb2c113715929 HTTP/1.1" 200 None
[2022-10-18 18:31:13,011] [DEBUG]: https://api.hypixel.net:443 "GET /player?key=d6f873c7-6575-420a-ae5f-102d1624e7ff&uuid=ea91442461e54f8eb7b5782632766c8c HTTP/1.1" 200 None
[2022-10-18 18:31:17,182] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:17,228] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:17,746] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:17,775] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:18,297] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:18,332] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:18,659] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:18,705] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:19,037] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:19,043] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:19,403] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:19,422] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:24,735] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:24,764] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:25,322] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:25,374] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:30,705] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 404 None
[2022-10-18 18:31:30,713] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:31,069] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:31,107] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:31,551] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:31,583] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:31,913] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:31,919] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:32,251] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:32,268] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:32,756] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:32,807] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:33,253] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:33,295] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:38,775] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 404 None
[2022-10-18 18:31:38,777] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:39,622] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:39,659] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:39,982] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:39,995] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:40,335] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:40,342] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:40,833] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:40,874] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:46,186] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 404 None
[2022-10-18 18:31:46,191] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:46,685] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:46,730] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:47,229] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:47,266] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:47,825] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:47,861] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:48,447] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:48,484] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:48,811] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:48,856] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:49,194] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:49,213] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:49,881] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:49,917] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:55,236] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 404 None
[2022-10-18 18:31:55,242] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:55,770] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:55,816] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:56,146] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:56,152] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:56,633] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:56,669] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:56,993] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:57,000] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:57,326] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:57,376] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:57,873] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:57,911] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:31:58,424] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:31:58,466] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:32:03,757] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 404 None
[2022-10-18 18:32:03,761] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:32:04,470] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:32:04,515] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:32:04,853] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:32:04,861] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:32:05,219] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:32:05,224] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:32:05,553] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:32:05,558] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:32:11,037] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 404 None
[2022-10-18 18:32:11,042] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:32:11,525] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:32:11,557] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:32:11,893] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:32:11,914] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:32:17,238] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:32:17,292] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:32:17,858] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:32:17,903] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:32:18,241] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:32:18,280] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:32:18,721] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:32:18,756] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:32:24,088] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 404 None
[2022-10-18 18:32:24,102] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:32:29,435] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 404 None
[2022-10-18 18:32:29,439] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:32:30,056] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 429 None
[2022-10-18 18:32:30,062] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
[2022-10-18 18:32:35,390] [DEBUG]: https://launchtracker.raventeam.repl.co:443 "GET /paths HTTP/1.1" 404 None
[2022-10-18 18:32:35,402] [DEBUG]: Starting new HTTPS connection (1): launchtracker.raventeam.repl.co:443
